0  0 -1 -1
0  1 -1  0
0  2 -1  0
0  3 -1  0
0  4 -1 -2
0  5 -1  0
0  6 -1  0
0  7 -1  0
0  8 -1 -1
0  9 -1 -1
0 10 -1  0
0 11 -1  0
0 12 -1  0
0 13 -1  0
0 14 -1  0
0 15 -1  0
0 16 -1 -1
0 17 -1 -3
0 18 -1  0
0 19 -1  0
0 20 -1  0
0 21 -1  0
0 22 -1  0
0 23 -1  0
0 24 -1 -3
0 25 -1 -2
0 26 -1  0
0 27 -1  0
0 28 -1  0
0 29 -1  0
0 30 -1  0
0 31 -1  0
1  0 -1  0
1  1 -1  0
1  2 -1  0
1  3 -1 +3
1  4 -1  0
1  5 -1  0
1  6 -1  0
1  7 -1  0
1  8 -1  0
1  9 -1  0
1 10 -1  0
1 11 -1  0
1 12 -1  0
1 13 -1  0
1 14 -1  0
1 15 -1  0
1 16 -1  0
1 17 -1  0
1 18 -1  0
1 19 -1  0
1 20 -1  0
1 21 -1  0
1 22 -1  0
1 23 -1  0
1 24 -1  0
1 25 -1  0
1 26 -1  0
1 27 -1  0
1 28 -1  0
1 29 -1  0
1 30 -1  0
1 31 -1  0
2  0 -1  0
2  1 -1  0
2  2 -1  0
2  3 -1  0
2  4 -1  0
2  5 -1  0
2  6 -1  0
2  7 -1  0
2  8 -1  0
2  9 -1  0
2 10 -1  0
2 11 -1  0
2 12 -1  0
2 13 -1  0
2 14 -1  0
2 15 -1  0
2 16 -1  0
2 17 -1  0
2 18 -1  0
2 19 -1 +2
2 20 -1  0
2 21 -1  0
2 22 -1  0
2 23 -1  0
2 24 -1  0
2 25 -1  0
2 26 -1  0
2 27 -1  0
2 28 -1  0
2 29 -1  0
2 30 -1  0
2 31 -1 +1
3  0 -1  0
3  1 -1  0
3  2 -1 +1
3  3 -1  0
3  4 -1  0
3  5 -1  0
3  6 -1  0
3  7 -1  0
3  8 -1  0
3  9 -1  0
3 10 -1 +3
3 11 -1  0
3 12 -1  0
3 13 -1  0
3 14 -1  0
3 15 -1  0
3 16 -1  0
3 17 -1  0
3 18 -1  0
3 19 -1  0
3 20 -1  0
3 21 -1  0
3 22 -1 -5
3 23 -1  0
3 24 -1  0
3 25 -1  0
3 26 -1  0
3 27 -1  0
3 28 -1  0
3 29 -1  0
3 30 -1  0
3 31 -1  0
4  0 -1 +1
4  1 -1  0
4  2 -1  0
